t,x_ref,x_meas,pitch_deg
0,0,0,-0
0.002,0,1.35593028917498e-15,4.50609480099098e-12
0.004,0,3.45936491887329e-13,1.14961619728654e-09
0.006,0,3.94278738964736e-12,1.31026701404572e-08
0.008,0,2.14258611807965e-11,7.12023946777821e-08
0.01,0,8.4681734238023e-11,2.81413863426806e-07
0.012,0,2.28785504703213e-10,7.60297011733968e-07
0.014,0,5.65873776198218e-10,1.88049241746796e-06
0.016,0,1.23212623232037e-09,4.09450712714052e-06
0.018,0,2.32347241914629e-09,7.72105834850666e-06
0.02,0,4.21912534513943e-09,1.40200138672132e-05
0.022,0,7.46381751017827e-09,2.4800404701473e-05
0.024,0,1.19215004064442e-08,3.96091029801502e-05
0.026,0,1.7920527279205e-08,5.95363046283284e-05
0.028,0,2.79451577568345e-08,9.28219156871372e-05
0.03,0,3.92708939507198e-08,0.000130421264914553
0.032,0,5.65853791452513e-08,0.000187869495476448
0.034,0,7.79541847480736e-08,0.000258721856954277
0.036,0,1.06719622245036e-07,0.000354028482590233
0.038,0,1.38356594023316e-07,0.000458791571928324
0.04,0,1.84808969944874e-07,0.00061234437359021
0.042,0,2.31261345866433e-07,0.000765897175252096
0.044,0,2.96496311590437e-07,0.000981018946580404
0.046,0,3.69699436631989e-07,0.00122214117782441
0.048,0,4.57364620859051e-07,0.00151034010027234
0.05,0,5.61958250602982e-07,0.00185331657054782
0.052,0,6.83780191483985e-07,0.00225158074066467
0.054,0,8.21919600306095e-07,0.00270168489272996
0.056,0,9.77370425956431e-07,0.00320594982138543
0.058,0,1.14994180099296e-06,0.00376249303203821
0.06,0,1.34118216917763e-06,0.00437445241919033
0.062,0,1.54386773324653e-06,0.00501951907038557
0.064,0,1.76280189026605e-06,0.00571056425838778
0.066,0,2.00676666458825e-06,0.00646894671050614
0.068,0,2.2558370680574e-06,0.0072403235093946
0.07,0,2.54728846988992e-06,0.00811854552356353
0.072,0,2.83873987172244e-06,0.00899676753773247
0.074,0,3.142476835594e-06,0.00990417363082339
0.076,0,3.50477846891863e-06,0.0109506987914772
0.078,0,3.86708010224325e-06,0.011997223952131
0.08,0,4.25349397976502e-06,0.0130982416757458
0.082,0,4.71104969771871e-06,0.0143600366869161
0.084,0,5.1686054156724e-06,0.0156218316980864
0.086,0,5.6566414517737e-06,0.0169504730196031
0.088,0,6.20576532997123e-06,0.0184130859365403
0.09,0,6.80202991188761e-06,0.019975981100492
