t,x_ref,x_meas
0,0,0
0.002,0,1.35593028917498e-15
0.004,0,3.45936491887329e-13
0.006,0,3.94278738964736e-12
0.008,0,2.14258611807965e-11
0.01,0,8.4681734238023e-11
0.012,0,2.28785504703213e-10
0.014,0,5.65873776198218e-10
0.016,0,1.23212623232037e-09
0.018,0,2.32347241914629e-09
0.02,0,4.21912534513943e-09
0.022,0,7.46381751017827e-09
0.024,0,1.19215004064442e-08
0.026,0,1.7920527279205e-08
0.028,0,2.79451577568345e-08
0.03,0,3.92708939507198e-08
0.032,0,5.65853791452513e-08
0.034,0,7.79541847480736e-08
0.036,0,1.06719622245036e-07
0.038,0,1.38356594023316e-07
0.04,0,1.84808969944874e-07
0.042,0,2.31261345866433e-07
0.044,0,2.96723164500432e-07
0.046,0,3.69692294618993e-07
0.048,0,4.57315522185068e-07
0.05,0,5.62063479079961e-07
0.052,0,6.84377858002715e-07
0.054,0,8.24174048662508e-07
0.056,0,9.83688621660649e-07
0.058,0,1.16391018480571e-06
0.06,0,1.36868535770481e-06
0.062,0,1.58896039864467e-06
0.064,0,1.83217208838196e-06
0.066,0,2.11196217184956e-06
0.068,0,2.39846702054211e-06
0.07,0,2.74943467841778e-06
0.072,0,3.10040233629344e-06
0.074,0,3.46783106102691e-06
0.076,0,3.92355767394655e-06
0.078,0,4.37928428686618e-06
0.08,0,4.86742718627206e-06
0.082,0,5.4601159254311e-06
0.084,0,6.05280466459014e-06
0.086,0,6.68694327653093e-06
0.088,0,7.41070770531333e-06
0.09,0,8.19368093142203e-06
0.092,0,9.04682702677655e-06
0.094,0,9.98400741001581e-06
0.096,0,1.09892473278362e-05
0.098,0,1.20557620112176e-05
0.1,0,1.31804532037312e-05
0.102,0,1.43430129104388e-05
0.104,0,1.55284693484239e-05
0.106,0,1.67213771533006e-05
0.108,0,1.79067769433676e-05
0.11,0,1.90709334694558e-05
0.112,0,2.01918380841643e-05
0.114,0,2.12697959746665e-05
0.116,0,2.2304616438779e-05
0.118,0,2.32770991979237e-05
0.12,0,2.41906566411325e-05
0.122,0,2.50468168195564e-05
0.124,0,2.58507668861123e-05
0.126,0,2.6611642506558e-05
0.128,0,2.73421934067104e-05
0.13,0,2.80635883676194e-05
0.132,0,2.87933033084817e-05
0.134,0,2.95520204703486e-05
0.136,0,3.03616632952694e-05
0.138,0,3.12588803403427e-05
0.14,0,3.22646276798477e-05
0.142,0,3.33913876761864e-05
0.144,0,3.46530527101297e-05
0.146,0,3.60600640791973e-05
0.148,0,3.76192659659457e-05
0.15,0,3.93351467007694e-05
0.152,0,4.12509829031698e-05
0.154,0,4.3286246048498e-05
0.156,0,4.54290370069207e-05
0.158,0,4.77594662773743e-05
0.16,0,5.01668324803686e-05
0.162,0,5.2647395535405e-05
0.164,0,5.5225104145111e-05
0.166,0,5.78211123459853e-05
0.168,0,6.04363620533448e-05
0.17,0,6.30299891642847e-05
0.172,0,6.55890354272431e-05
0.174,0,6.81084822782424e-05
0.176,0,7.05245784442548e-05
0.178,0,7.28814797321548e-05
0.18,0,7.51691770875147e-05
0.182,0,7.73504776027378e-05
0.184,0,7.94845509568605e-05
0.186,0,8.15635950426907e-05
0.188,0,8.36204997598389e-05
0.19,0,8.56575314629577e-05
0.192,0,8.76958922249639e-05
0.194,0,8.97719128241852e-05
0.196,0,9.19038256101473e-05
0.198,0,9.41177048212373e-05
0.2,0,9.64485609925226e-05
0.202,0,9.89085433851159e-05
0.204,0,0.000101511987035642
0.206,0,0.000104291082562083
0.208,0,0.00010723669952692
0.21,0,0.000110347850285141
0.212,0,0.000113634368851158
0.214,0,0.000117073969445461
0.216,0,0.000120648162464213
0.218,0,0.000124336523466226
0.22,0,0.000128115141587972
0.222,0,0.000131955799943176
0.224,0,0.000135832899425438
0.226,0,0.000139724185642857
0.228,0,0.000143608440456874
0.23,0,0.000147467091686754
0.232,0,0.00015128245745961
0.234,0,0.000155044772698209
0.236,0,0.000158740430492031
0.238,0,0.000162367209328228
0.24,0,0.00016592006422738
0.242,0,0.000169406527523238
0.244,0,0.000172826645298865
0.246,0,0.000176178814204194
0.248,0,0.000179481398234518
0.25,0,0.000182729396330928
0.252,0,0.000185938255602547
0.254,0,0.000189117063770283
0.256,0,0.00019227456931528
0.258,0,0.000195429621076221
0.26,0,0.000198595124432045
0.262,0,0.000201796348203456
0.264,0,0.00020504669933851
0.266,0,0.00020836006791032
0.268,0,0.000211749121933002
0.27,0,0.000215224859884394
0.272,0,0.000218804970155251
0.274,0,0.00022249318098976
0.276,0,0.000226296464471048
0.278,0,0.000230208284249512
0.28,0,0.000234222291515286
0.282,0,0.00023833033941026
0.284,0,0.000242524178915421
0.286,0,0.000246779509384251
0.288,0,0.000251102716611373
0.29,0,0.000255466797262091
